Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
defender-bike-light,Defender Bike Light,Fortified,Light,"Accessories, Alloy, Black, Essential, Essentials, Light, Lights, Pure Fix Cycles, Safety, Safety Gear",FALSE,Color,Black,,,,,Lights - Gotham - Black,272,shopify,0,deny,manual,39,59,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/WEB_2048-Light_0002_Defender_Front_Angle_Black.jpeg?v=1438626062,Black,FALSE,,,,,,,,,,,,,,,,,lb
defender-bike-light,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/WEB_2048-Light_0000_Defender_Front.jpeg?v=1438626062,,,,,,,,,,,,,,,,,,,
defender-bike-light,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/WEB_2048-Light_0005_Defender_Bottom_Black.jpeg?v=1438626062,,,,,,,,,,,,,,,,,,,
defender-bike-light,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/WEB_2048-Light_0007_Defender_Back_Angle_Black.jpeg?v=1438626062,,,,,,,,,,,,,,,,,,,
defender-bike-light,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/WEB_2048-Light_0001_Defender_Front_Angle_Chrome.jpeg?v=1438626062,Alloy,,,,,,,,,,,,,,,,,,
defender-bike-light,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/WEB_2048-Light_0004_Defender_Bottom_Chrome.jpeg?v=1438626062,,,,,,,,,,,,,,,,,,,
defender-bike-light,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/WEB_2048-Light_0006_Defender_Back_Angle_Chrome.jpeg?v=1438626062,,,,,,,,,,,,,,,,,,,
diago-roadrace-pump,Diago Roadrace Pump,SKS,Pumps,"Accessories, Black, Essential, Essentials, Presta Valve, Pump, Pumps, Safety Gear, Tool, Tools and Maintenance, Wheelsets and Accessories, White",TRUE,Color,Black,,,,,Pump - Diago - Black,91,shopify,0,deny,manual,20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/diago-fixie-pump_1.jpeg?v=1438626055,Black,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/diago-fixie-pump_1.jpeg?v=1438626055,lb
diago-roadrace-pump,,,,,,,White,,,,,Pump - Diago - White,91,shopify,26,deny,manual,20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/sks-diago-w_1.jpeg?v=1438626055,White,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/sks-diago-w_1.jpeg?v=1438626055,lb
diago-roadrace-pump,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/diago-fixie-3.jpeg?v=1438626055,,,,,,,,,,,,,,,,,,,
